,Job Title,Company,Location,Status,Date Posted,Date Text,Job Link
10,Senior Data Scientist,Walmart,"Seattle, WA",Actively Hiring +6 benefits,2024-06-14,5 days ago,https://www.linkedin.com/jobs/view/data-scientist-ai-ml-at-syntricate-technologies-3861232363?position=60&pageNum=0&refId=VbobG3qw23fizhVVCuoIxQ%3D%3D&trackingId=i%2FxfljHyXgT2xfAjPbXt8w%3D%3D&trk=public_jobs_jserp-result_search-card
11,Data Scientist,"Donato Technologies, Inc.",United States,Actively Hiring,2024-06-04,2 weeks ago,https://www.linkedin.com/jobs/view/data-scientist-ai-ml-at-syntricate-technologies-3861232363?position=60&pageNum=0&refId=VbobG3qw23fizhVVCuoIxQ%3D%3D&trackingId=i%2FxfljHyXgT2xfAjPbXt8w%3D%3D&trk=public_jobs_jserp-result_search-card
12,Machine Learning Engineer,Invitae,United States,Not specified,2024-06-12,1 week ago,https://www.linkedin.com/jobs/view/data-scientist-ai-ml-at-syntricate-technologies-3861232363?position=60&pageNum=0&refId=VbobG3qw23fizhVVCuoIxQ%3D%3D&trackingId=i%2FxfljHyXgT2xfAjPbXt8w%3D%3D&trk=public_jobs_jserp-result_search-card
13,Data Scientist,Simpson Thacher & Bartlett LLP,New York City Metropolitan Area,Actively Hiring,2024-06-15,5 days ago,https://www.linkedin.com/jobs/view/data-scientist-ai-ml-at-syntricate-technologies-3861232363?position=60&pageNum=0&refId=VbobG3qw23fizhVVCuoIxQ%3D%3D&trackingId=i%2FxfljHyXgT2xfAjPbXt8w%3D%3D&trk=public_jobs_jserp-result_search-card
14,Data Scientist,Infosys,"Dallas, TX",Actively Hiring +4 benefits,2024-06-05,2 weeks ago,https://www.linkedin.com/jobs/view/data-scientist-ai-ml-at-syntricate-technologies-3861232363?position=60&pageNum=0&refId=VbobG3qw23fizhVVCuoIxQ%3D%3D&trackingId=i%2FxfljHyXgT2xfAjPbXt8w%3D%3D&trk=public_jobs_jserp-result_search-card
15,"Data Scientist, Decisions - Airports",Lyft,"San Francisco County, CA",Actively Hiring,2024-05-30,2 weeks ago,https://www.linkedin.com/jobs/view/data-scientist-ai-ml-at-syntricate-technologies-3861232363?position=60&pageNum=0&refId=VbobG3qw23fizhVVCuoIxQ%3D%3D&trackingId=i%2FxfljHyXgT2xfAjPbXt8w%3D%3D&trk=public_jobs_jserp-result_search-card
16,Data Scientist,Monocle,New York City Metropolitan Area,Not specified,2024-06-10,1 week ago,https://www.linkedin.com/jobs/view/data-scientist-ai-ml-at-syntricate-technologies-3861232363?position=60&pageNum=0&refId=VbobG3qw23fizhVVCuoIxQ%3D%3D&trackingId=i%2FxfljHyXgT2xfAjPbXt8w%3D%3D&trk=public_jobs_jserp-result_search-card
17,Data Scientist,"Donato Technologies, Inc.",United States,Actively Hiring,2024-06-04,2 weeks ago,https://www.linkedin.com/jobs/view/data-scientist-ai-ml-at-syntricate-technologies-3861232363?position=60&pageNum=0&refId=VbobG3qw23fizhVVCuoIxQ%3D%3D&trackingId=i%2FxfljHyXgT2xfAjPbXt8w%3D%3D&trk=public_jobs_jserp-result_search-card
18,"Data Scientist (Artificial Intelligence, Machine Learning)- Contractor",KPMG US,United States,Actively Hiring,2024-06-05,2 weeks ago,https://www.linkedin.com/jobs/view/data-scientist-ai-ml-at-syntricate-technologies-3861232363?position=60&pageNum=0&refId=VbobG3qw23fizhVVCuoIxQ%3D%3D&trackingId=i%2FxfljHyXgT2xfAjPbXt8w%3D%3D&trk=public_jobs_jserp-result_search-card
19,Data Scientist,Visa,"Foster City, CA",Actively Hiring,2024-06-11,1 week ago,https://www.linkedin.com/jobs/view/data-scientist-ai-ml-at-syntricate-technologies-3861232363?position=60&pageNum=0&refId=VbobG3qw23fizhVVCuoIxQ%3D%3D&trackingId=i%2FxfljHyXgT2xfAjPbXt8w%3D%3D&trk=public_jobs_jserp-result_search-card
20,Data Scientist- Remote,Sharecare,United States,Not specified,2024-06-18,1 day ago,https://www.linkedin.com/jobs/view/data-scientist-ai-ml-at-syntricate-technologies-3861232363?position=60&pageNum=0&refId=VbobG3qw23fizhVVCuoIxQ%3D%3D&trackingId=i%2FxfljHyXgT2xfAjPbXt8w%3D%3D&trk=public_jobs_jserp-result_search-card
